,words,rating,tips,tips_code,steps,step_code,tips_groups,tips_groups_code
3464,i relish the harmony i feel between us,4,"feeling,selfempathy",299,emotions,0,feeling,72
3465,i remember querying it a few years ago,4,fact,208,facts,4,fact,56
3466,i renovate the house,4,fact,208,facts,4,fact,56
3467,i request a pay raise of 6 which i believe reflects both my current competencies and industry averages,4,fact,208,facts,4,fact,56
3468,i ruined my life,1,"generalisation,morality",322,facts,4,judgemental,87
3469,i run four miles every morning,4,fact,208,facts,4,fact,56
3470,i sacrificed my career for you,1,"sacrifice,reproach",606,facts,4,fault,63
3471,i said good morning,4,fact,208,facts,4,fact,56
3472,i said that i had farted and you laughed,4,fact,208,facts,4,fact,56
3473,i savor the feeling of fullness that this view brings me,4,"feeling,selfempathy",299,emotions,0,feeling,72
3474,i saw him yesterday but he did not see me,4,fact,208,facts,4,fact,56
3475,i saw one yesterday,4,fact,208,facts,4,fact,56
3476,i saw you throw food away after dinner and i feel sad because it doesn t meet my need to care for the environment and the efficient use of resources,5,"feeling,selfempathy,need",301,"emotions,needs",2,"need,feeling",98
3477,i saw you when you dropped it,5,fact,208,facts,4,fact,56
3478,you passed 8 out of 10 tests,4,fact,208,facts,4,fact,56
3479,i say it loud and clear it s your fault not mine,0,"denial,reproach",138,facts,4,fault,63
3480,i say it without hesitation you are despicable,0,"provocation,labelling",525,facts,4,"provocation,judgemental",145
3481,i say that you are a liar sir,0,"provocation,labelling",525,facts,4,"provocation,judgemental",145
3482,i say that you are liars,0,"provocation,labelling",525,facts,4,"provocation,judgemental",145
3483,i see a need for gratitude on your part is that it ?,4,"clarity,empathy,need",91,"proposals,needs",22,"empathy,need",33
3484,i see about ten fingerprints on the walls,5,fact,208,facts,4,fact,56
3485,i see that it has not been done,4,fact,208,facts,4,fact,56
3486,i see that the car s gas gauge is on reserve,5,fact,208,facts,4,fact,56
3487,i see that the housework is not done,5,fact,208,facts,4,fact,56
3488,i see that the result of this addition is wrong,4,fact,208,facts,4,fact,56
3489,i see that you are all a bunch of shit bags,0,"provocation,interpretation",524,facts,4,"provocation,judgemental",145
3490,i see that you bought our son a foam sword,5,fact,208,facts,4,fact,56
3491,i see that you have decided to continue to behave like an immature child,1,"provocation,interpretation",524,facts,4,"provocation,judgemental",145
3492,i see that you still have not understood anything i said,1,"provocation,interpretation",524,facts,4,"provocation,judgemental",145
3493,i see three garbage bags on the floor,5,fact,208,facts,4,fact,56
3494,i see you bought a new dildo,5,fact,208,facts,4,fact,56
3495,i see you do things i do not understand,5,interpretation,355,facts,4,judgemental,87
3496,i see you doing things i did not expect,5,fact,208,facts,4,fact,56
3497,i see you for who you are and it s who i love,4,positivebias,461,facts,4,positivebias,131
3498,i see you have an erection,5,fact,208,facts,4,fact,56
3499,i see you have not visited these places yet,4,fact,208,facts,4,fact,56
3500,looks like you re winning,0,interpretation,355,facts,4,judgemental,87
3501,i see your point but i still think you re an idiot,0,interpretation,355,facts,4,judgemental,87
3502,i sense that you are angry is that so ?,5,"clarity,empathy",89,proposals,18,empathy,11
3503,i sense that you are curious are not you ?,4,"clarity,empathy",89,proposals,18,empathy,11
3504,i set the alarm for wake up in the morning,4,fact,208,facts,4,fact,56
3505,i set the alarm,4,fact,208,facts,4,fact,56
3506,i shall look forward to the day i hear of your death and i intend to continue terrorizing you and make your life a living hell you nasty little stupid mexican faggot,0,"provocation,labelling",525,"facts,proposals",12,"provocation,judgemental",145
3507,i m ashamed of myself,2,reproach,561,facts,4,fault,63
3508,i should die,1,morality,416,facts,4,judgemental,87
3509,i should have been more sensitive,2,reproach,561,facts,4,fault,63
3510,i should have known better,1,reproach,561,facts,4,fault,63
3511,i should have listened to my mother instead of trusting you,1,"denial,selfempathy",145,facts,4,"feeling,fault",74
3512,i shouldn t have done that,1,"denial,selfempathy",145,facts,4,"feeling,fault",74
3513,i shuddered with joy when i heard this news,5,"fact,feeling",216,facts,4,"fact,feeling",58
3514,i smoke,4,fact,208,facts,4,fact,56
3515,i solve my problems,4,fact,208,facts,4,fact,56
3516,i spend all my free time taking care of you,1,sacrifice,597,facts,4,fault,63
3517,i spend my time denigrating my qualities,2,"generalisation,reproach",334,facts,4,"judgemental,fault",89
3518,i spent 2 hours flirting with him then he kissed me,4,fact,208,facts,4,fact,56
3519,i spent half an hour scraping the stains off the floor to get them out,4,fact,208,facts,4,fact,56
3520,i spent three hours cleaning and now i feel tired,4,"selfempathy,feeling",613,facts,4,feeling,72
3521,i start smoking because all my friends did,2,denial,129,facts,4,fault,63
3522,i start work at 9 00 am,4,fact,208,facts,4,fact,56
3523,i started smoking because all my friends did,2,denial,129,facts,4,fault,63
3524,i started smoking because all my friends were smoking,2,denial,129,facts,4,fault,63
3525,i studied apa rules for 25 hours,4,fact,208,facts,4,fact,56
3526,i study english grammar,4,fact,208,facts,4,fact,56
3527,i suck,1,"labelling,morality",393,facts,4,judgemental,87
3528,i suck,1,"labelling,morality",393,facts,4,judgemental,87
3529,i suffer because of you,1,reproach,561,facts,4,fault,63
3530,i suggest we do this,4,"activity,person,where,when,action,why,howmany,positive,realistic",59,proposals,18,"realistic,positive,unprecise",171
3531,i suggest we switch every night at 9pm,4,"activity,person,where,time,action,why,howmany,positive,realistic",50,proposals,18,"realistic,positive,precise",170
3532,i suggest you go over these points at home with a clear head,4,"activity,person,location,when,action,why,howmany,positive,realistic",33,proposals,18,"realistic,positive,precise",170
3533,i swept the floor just this morning,4,fact,208,facts,4,fact,56
3534,i sympathize with your pain,4,"fact,empathy,feeling",215,"facts,emotions",5,"empathy,fact,feeling",14
3535,i take a shower,4,fact,208,facts,4,fact,56
3536,i take a transfer,4,fact,208,facts,4,fact,56
3537,i take great offense that some pompous sanctimonious twit thinks that no one should be allowed to express appreciation,0,"provocation,denial",509,"facts,emotions",5,"provocation,fault",140
3538,i take the rubbish out,4,fact,208,facts,4,fact,56
3539,i take the train to the office,4,fact,208,facts,4,fact,56
3540,i thank you for encouraging me to do this project,4,"fact,empathy,feeling",215,facts,4,"empathy,fact,feeling",14
3541,i thank you for this report i feel very satisfied with its content,4,"selfempathy,feeling",613,facts,4,feeling,72
3542,i thank you for your proposal but i am not interested,4,"fact,empathy",213,facts,4,"empathy,fact",13
3543,i think i detect a need for mutual respect in what you say,4,"interpretation,need,empathy",370,"facts,needs",10,"empathy,need,judgemental",37
3544,i think i gave it my best efforts,4,positivebias,461,facts,4,positivebias,131
3545,i think i got an f because i did not study for this class,4,"interpretation,morality",366,facts,4,judgemental,87
3546,i think i see a need for recognition,4,"interpretation,empathy,need",361,"facts,emotions,needs",6,"empathy,need,judgemental",37
3547,i think i understand what you re saying,4,feeling,254,facts,4,feeling,72
3548,i think in a way i am sapiosexual,4,"labelling,selfempathy,feeling",413,"facts,emotions",5,"feeling,judgemental",75
3549,i think it upsets you that your child has some behaviours that need improvement,1,interpretation,355,"facts,emotions",5,judgemental,87
3550,i think it was your sense of humor that charmed me,4,fact,208,facts,4,fact,56
3551,i think it would be beneficial for you to work on your line,4,unsolicited,635,facts,4,unsolicited,202
3552,i think it s even better with a third person,4,fact,208,facts,4,fact,56
3553,i think it s hard to get more horrible than you,0,provocation,494,facts,4,provocation,138
3554,you know stress when it gets to you,2,"unsolicited,morality",700,facts,4,"judgemental,unsolicited",94
3555,i think our lives are perfect together,4,"interpretation,morality",366,facts,4,judgemental,87
3556,i think that my feelings are valid,5,"selfempathy,fact,feeling",612,"facts,proposals",12,"fact,feeling",58
3557,i think that there is so much to understand,4,fact,208,facts,4,fact,56
3558,i think that writting permits to exchange ideas,4,fact,208,facts,4,fact,56
3559,i think that you are like this,1,"interpretation,morality",366,facts,4,judgemental,87
3560,i wonder how you would manage without me,1,"unsolicited,morality",700,facts,4,"judgemental,unsolicited",94
3561,i think that s the least lucid answer i ve ever read,0,provocation,494,facts,4,provocation,138
3562,i think we are not from the same world,0,"interpretation,morality",366,facts,4,judgemental,87
3563,i think you are behaving very dishonestly in this matter,1,"interpretation,morality",366,facts,4,judgemental,87
3564,i think you are not telling the truth,4,"interpretation,morality",366,facts,4,judgemental,87
3565,i think you ca not get a mental picture of what i m asking you to do,1,"interpretation,morality",366,facts,4,judgemental,87
3566,i think you ca not help it,1,"interpretation,morality",366,facts,4,judgemental,87
3567,i think you do it like a fool,1,"interpretation,reproach",374,facts,4,"judgemental,fault",89
3568,i think you do not really care,1,interpretation,355,facts,4,judgemental,87
3569,that s what s keeping you from being objective,1,unsolicited,635,facts,4,unsolicited,202
3570,i think you have been affected by this situation more than you realise,2,interpretation,355,facts,4,judgemental,87
3571,i think you have trouble with the concept of justice,2,interpretation,355,facts,4,judgemental,87
3572,i think you look awful today,0,provocation,494,facts,4,provocation,138
3573,i think you look great in lingerie,4,positivebias,461,facts,4,positivebias,131
3574,i think you misunderstood the rules of sharing,2,"interpretation,morality",366,facts,4,judgemental,87
3575,i think you misunderstood the rules of sharing,2,"interpretation,morality",366,facts,4,judgemental,87
3576,i think you need help,2,"unsolicited,morality",700,facts,4,"judgemental,unsolicited",94
3577,i think you should stop to smoke so much,2,"unsolicited,morality",700,"facts,proposals",12,"judgemental,unsolicited",94
3578,unsolicited negative morality,2,"unsolicited,morality",700,facts,4,"judgemental,unsolicited",94
3579,i think you d rather be the baby than the big girl,1,"interpretation,morality",366,facts,4,judgemental,87
3580,i think you re a big addict,1,"unsolicited,morality",700,facts,4,"judgemental,unsolicited",94
3581,i think you re being aggressive with me,2,"interpretation,morality",366,facts,4,judgemental,87
3582,i think you re confusing the fact that she does not play with you anymore with the fact that she does not love you anymore,2,"interpretation,morality",366,facts,4,judgemental,87
3583,i think you re having a teenage crisis,1,"unsolicited,morality",700,facts,4,"judgemental,unsolicited",94
3584,i think you re not doing it on purpose but you re being very aggressive with everybody,1,"unsolicited,morality",700,facts,4,"judgemental,unsolicited",94
3585,i think you re scared,2,"interpretation,morality",366,facts,4,judgemental,87
3586,i think you re the one,2,"interpretation,morality",366,facts,4,judgemental,87
3587,i think you re tired of arguing with me,2,"interpretation,morality",366,facts,4,judgemental,87
3588,i guess you re in a bad way,2,"unsolicited,morality",700,facts,4,"judgemental,unsolicited",94
3589,i think your parents were too strict with you when you were young,2,interpretation,355,facts,4,judgemental,87
3590,i think your problem comes from your mother,2,interpretation,355,facts,4,judgemental,87
3591,i thought i recognized a smile at that moment ?,5,fact,208,facts,4,fact,56
3592,i thought i recognized an affectionate look,5,fact,208,facts,4,fact,56
3593,i thought last night was hot,4,fact,208,facts,4,fact,56
3594,i threw away the meat because it was out of date,5,fact,208,facts,4,fact,56
3595,i threw out the rice because no one ate it,4,fact,208,facts,4,fact,56
3596,i told you but as usual you did not listen,1,"generalisation,reproach",334,facts,4,"judgemental,fault",89
3597,i told you so you do like it period,2,"unsolicited,activity,demand,person,where,when,action,why,howmany,negative,realistic",640,"facts,proposals",12,"negative,unsolicited,realistic,unprecise,demanding",126
3598,i told you to do it,2,"unsolicited,activity,demand,person,where,when,action,why,howmany,negative,realistic",640,proposals,18,"negative,unsolicited,realistic,unprecise,demanding",126
3599,i too am interested in the project,4,"fact,feeling",216,"facts,emotions",5,"fact,feeling",58
3600,i took care of three children by myself yesterday and i felt overwhelmed,5,"selfempathy,feeling",613,facts,4,feeling,72
3601,i took out the trash,5,fact,208,facts,4,fact,56
3602,i took the time to enjoy this meal,4,fact,208,facts,4,fact,56
3603,i totally utterly and completely fancy you,4,"selfempathy,feeling",613,facts,4,feeling,72
3604,i travel by bus,4,fact,208,facts,4,fact,56
3605,i treasure you,4,"fact,feeling",216,"facts,emotions",5,"fact,feeling",58
3606,i tried to see the stage but i was too short,4,fact,208,facts,4,fact,56
3607,i trust my instincts,4,fact,208,facts,4,fact,56
3608,i trust you,4,"fact,feeling",216,"facts,emotions",5,"fact,feeling",58
3609,i try to be interested in international politics but i realise that i feel detached and far from it all,4,"selfempathy,feeling",613,facts,4,feeling,72
3610,i turn off the lights,4,fact,208,facts,4,fact,56
3611,i understand better why nobody is interested in you,0,"provocation,deserves,labelling",514,facts,4,"provocation,judgemental,fault",146
3612,i understand if you don t want any emails from me,4,"empathy,fact",188,facts,4,"empathy,fact",13
3613,brave as you are you ll get through it,2,unsolicited,635,facts,4,unsolicited,202
3614,i understand that you are feeling anxiety right now ?,4,"empathy,feeling",192,facts,4,"empathy,feeling",20
3615,i understand that you are in trouble and i do not know how to help you i feel helpless,5,"empathy,feeling,selfempathy",197,facts,4,"empathy,feeling",20
3616,i understand that you have played a joke on me and i feel annoyed,4,"selfempathy,feeling",613,facts,4,feeling,72
3617,i understand that you need to calm down,5,"empathy,need",203,"facts,needs",10,"empathy,need",33
3618,i understand that you re angry,5,empathy,176,facts,4,empathy,11
3619,i understand that you re disappointed we have had many absences due to illness,4,empathy,176,facts,4,empathy,11
3620,look at the parades the magazines the gays are always naked in underwear or in saunas,1,"generalisation,empathy",310,facts,4,"empathy,judgemental",29
3621,besides he did not listen to lise last year either,2,generalisation,303,facts,4,judgemental,87
3622,i understand you re dating paul s daughter ?,4,fact,208,facts,4,fact,56
3623,i understand but that does not make you a hero,1,"interpretation,empathy",359,facts,4,"empathy,judgemental",29
3624,i understood that you wanted us to try sodomy,4,fact,208,facts,4,fact,56
3625,i usually do washing on sundays,4,fact,208,facts,4,fact,56
3626,i usually drink coffee on the morning,4,fact,208,facts,4,fact,56
3627,i usually drive to work,4,fact,208,facts,4,fact,56
3628,i usually take bus,4,fact,208,facts,4,fact,56
3629,i usually watch tv while i have breakfast,4,fact,208,facts,4,fact,56
3630,i value every waking moment with you,4,"selfempathy,feeling",613,"facts,emotions",5,feeling,72
3631,i value justice,5,fact,208,facts,4,fact,56
3632,i value my autonomy,5,fact,208,facts,4,fact,56
3633,i value simplicity,5,fact,208,facts,4,fact,56
3634,i value you helping me when you are tired,4,"fact,selfempathy",250,facts,4,"fact,feeling",58
3635,i visited my grandma,4,fact,208,facts,4,fact,56
3636,i wait for you,4,fact,208,facts,4,fact,56
3637,i waited for the train,4,fact,208,facts,4,fact,56
3638,i waited for you for an hour in the rain,5,fact,208,facts,4,fact,56
3639,i walked and looked around,4,fact,208,facts,4,fact,56
3640,i want a big hug,4,"need,feeling",452,"facts,emotions,needs",6,"feeling,need",77
3641,i want a big hug in the bed with you,4,"need,feeling",452,"facts,emotions,needs",6,"feeling,need",77
3642,i want a fire truck,2,"activity,who,action,when,where,why,thismany,positive,realistic",77,proposals,18,"realistic,positive,unprecise",171
3643,i want a hug,4,"activity,who,action,when,where,why,thismany,positive,realistic",77,proposals,18,"realistic,positive,unprecise",171
3644,i want a kiss,4,"activity,who,action,when,where,why,thismany,positive,realistic",77,proposals,18,"realistic,positive,unprecise",171
3645,i want a lifetime with you,4,"activity,person,action,when,where,why,thismany,positive,realistic",22,proposals,18,"realistic,positive,precise",170
3646,i want a massage,4,"need,feeling",452,"facts,emotions,needs",6,"feeling,need",77
3647,i want her to shut her big fat whore mouth,0,"provocation,activity,person,action,when,where,why,howmany,positive,realistic",497,proposals,18,"realistic,provocation,positive,unprecise",181
3648,i want kisses and hugs,4,"need,feeling",452,"facts,emotions,needs",6,"feeling,need",77
3649,i want kisses and hugs in the bed,4,"need,feeling",452,"facts,emotions,needs",6,"feeling,need",77
3650,i want more respect from you,2,"activity,person,action,when,where,why,howmany,positive,realistic",21,proposals,18,"realistic,positive,unprecise",171
3651,i want mutual respect between us,4,"activity,person,action,when,where,why,thismany,positive,realistic",22,proposals,18,"realistic,positive,precise",170
3652,i want sex,4,"activity,who,action,when,where,why,howmany,positive,realistic",76,proposals,18,"realistic,positive,unprecise",171
3653,i want the playstation 4,2,"activity,who,action,when,where,why,thismany,positive,realistic",77,proposals,18,"realistic,positive,unprecise",171
3654,i want these flashlights to last so they ll be available if we have an emergency,5,"activity,who,action,when,where,why,thismany,positive,realistic",77,proposals,18,"realistic,positive,unprecise",171
3655,i want to be an astronaut,4,"activity,who,action,when,where,why,thismany,positive,realistic",77,proposals,18,"realistic,positive,unprecise",171
3656,i want to be with you,4,"activity,person,action,when,where,why,howmany,positive,realistic",21,proposals,18,"realistic,positive,unprecise",171
3657,i want to change jobs because i need to grow in my career,5,"fact,need",244,"facts,needs",10,"fact,need",60
3658,i want to climb on you and do all kinds of naughty things to you,4,"fact,need,feeling",245,"facts,emotions,needs",6,"feeling,fact,need",73
3659,i want to concede you a point but for the rest you are completely delirious,1,"interpretation,morality",366,facts,4,judgemental,87
3660,i want to do some really big shit with your body,4,"fact,need,feeling",245,"facts,emotions,needs",6,"feeling,fact,need",73
3661,i want to do you doggy style,4,"fact,need,feeling",245,"facts,emotions,needs",6,"feeling,fact,need",73
3662,i want to fall asleep against your warm body,4,"fact,need,feeling",245,"facts,emotions,needs",6,"feeling,fact,need",73
3663,i want to go to this party because i need empowerment,5,"fact,need",244,"facts,needs",10,"fact,need",60
3664,i want to lay you on the pool table and take you there,4,"fact,need,feeling",245,"facts,emotions,needs",6,"feeling,fact,need",73
3665,i want to lose weight yet i eat chocolate daily,5,duality,174,facts,4,judgemental,87
3666,i want to make love come,4,"fact,need,feeling",245,"facts,emotions,needs",6,"feeling,fact,need",73
3667,i want to make sure they feel good,4,"activity,person,action,when,where,why,howmany,positive,realistic",21,proposals,18,"realistic,positive,unprecise",171
3668,i want to play together would you agree to make a cabin ?,5,"fact,need,feeling",245,"facts,emotions,needs",6,"feeling,fact,need",73
3669,i want to resolve human conflicts in other ways,5,"fact,need",244,"facts,needs",10,"fact,need",60
3670,i want to share something but i would like to to reflect me how you think i feel before telling me how you feel,4,"fact,need,feeling",245,"facts,emotions,needs",6,"feeling,fact,need",73
3671,i want to show that there are other ways of solving differences in school without kicking people out,4,"fact,need,feeling",245,"facts,emotions,needs",6,"feeling,fact,need",73
3672,i want to spice up our sex life,5,"need,feeling",452,"facts,emotions,needs",6,"feeling,need",77
3673,i want to strangle you,0,provocation,494,"facts,emotions",5,provocation,138
3674,i want to take the time to thank you for how hard you work around our home,4,"fact,empathy",213,facts,4,"empathy,fact",13
3675,i want to trust that we ll work this out soon would you be willing to talk this afternoon after lunch ?,4,"need,feeling",452,"facts,emotions,needs",6,"feeling,need",77
3676,i want to try a threesome,4,"need,feeling",452,"facts,emotions,needs",6,"feeling,need",77
3677,i want to try bdsm but i m afraid it will hurt,4,"need,feeling",452,"facts,emotions,needs",6,"feeling,need",77
3678,i want to try new things in bed,4,"need,feeling",452,"facts,emotions,needs",6,"feeling,need",77
3679,i want to try sodomy but i m afraid it will hurt,4,"need,feeling",452,"facts,emotions,needs",6,"feeling,need",77
3680,i want to try something different it is new and i am not completely comfortable with it and will need to use my training wheels so please bear with me,4,"activity,person,action,when,where,why,howmany,positive,realistic",21,facts,4,"realistic,positive,unprecise",171
3681,i want to try the libertine clubs,4,"need,feeling",452,"facts,emotions,needs",6,"feeling,need",77
3682,i want you to be cool with me,3,"activity,person,action,when,where,why,howmany,positive,realistic",21,facts,4,"realistic,positive,unprecise",171
3683,i want you to caress me,5,"need,feeling",452,"facts,emotions,needs",6,"feeling,need",77
3684,i want you to doubt yourself and not me,0,"activity,person,action,when,where,why,howmany,positive,realistic",21,facts,4,"realistic,positive,unprecise",171
3685,i want you to give me an ass kicking,5,"need,feeling",452,"facts,emotions,needs",6,"feeling,need",77
3686,i want you to give me the freedom to grow and be myself,3,"activity,person,action,when,where,why,howmany,positive,realistic",21,facts,4,"realistic,positive,unprecise",171
3687,i want you to give me the freedom to grow and be myself,2,"activity,person,action,when,where,why,howmany,positive,realistic",21,facts,4,"realistic,positive,unprecise",171
3688,i want you to hold me tight,4,"need,feeling",452,"facts,emotions,proposals,needs",9,"feeling,need",77
3689,i want you to let me be,2,"activity,person,action,when,where,why,howmany,positive,realistic",21,"facts,needs,proposals",11,"realistic,positive,unprecise",171
3690,i want you to let me be me,3,"activity,person,action,when,where,why,howmany,positive,realistic",21,"facts,emotions,proposals",8,"realistic,positive,unprecise",171
3691,i want you to make me scream,5,"need,feeling",452,"facts,needs",10,"feeling,need",77
3692,i want you to put your lips on mine,5,"need,feeling",452,"facts,emotions,needs",6,"feeling,need",77
3693,i want you to spank me until my ass is red,4,"need,feeling",452,"facts,emotions,needs",6,"feeling,need",77
3694,i want you to stop drinking,2,"activity,person,action,when,where,why,howmany,positive,realistic",21,facts,4,"realistic,positive,unprecise",171
3695,i want you to stop drinking,2,"activity,unsolicited,when,why",74,"facts,emotions,proposals",8,"unprecise,unsolicited",189
3696,i want you to take me violently,5,"need,feeling",452,"facts,emotions,needs",6,"feeling,need",77
3697,i want you to tell me how you feel about what i did and what you d like me to do differently,4,"empathy,feeling",192,"facts,emotions,proposals",8,"empathy,feeling",20
3698,i want you to tell me what needs of yours are met by drinking and to discuss with me other ways of meeting those needs,4,"empathy,feeling,need",196,"facts,emotions,proposals,needs",9,"empathy,need,feeling",35
3699,i want you to tell me you won t leave our relationship even if i do some things that you don t like,4,"empathy,feeling",192,"facts,emotions,proposals",8,"empathy,feeling",20
3700,i want you to tie me to the bed and punish me,4,"need,feeling",452,"facts,emotions,needs",6,"feeling,need",77
3701,i want you to understand me,2,"what,unrealistic",753,proposals,18,"unrealistic,unprecise",201
3702,i want you to understand me better,2,what,752,proposals,18,unprecise,186
3703,i want you,5,"need,feeling",452,"facts,emotions,proposals,needs",9,"feeling,need",77
3704,i want you my love,4,"need,feeling",452,"facts,emotions,proposals,needs",9,"feeling,need",77
3705,i wanted to let you know how much i appreciated your help with this project,5,"fact,need,feeling",245,"facts,emotions,needs",6,"feeling,fact,need",73
3706,i wanted to take the time to thank you for the service you provided to us,4,fact,208,facts,4,fact,56
3707,i was afraid of the rat,4,"fact,feeling",216,"facts,emotions",5,"fact,feeling",58
3708,i was angry,4,"fact,feeling",216,"facts,emotions",5,"fact,feeling",58
3709,i was at my grandma s house,4,fact,208,facts,4,fact,56
3710,i was breathless,4,"fact,feeling",216,facts,4,"fact,feeling",58
3711,i was disappointed that you did not come because i wanted to discuss some things that upset me,4,"fact,feeling",216,"facts,emotions",5,"fact,feeling",58
3712,i was disappointed when you didn t come over because i wanted to talk over some things that were bothering me,4,"fact,feeling",216,"facts,emotions",5,"fact,feeling",58
3713,i feel upset when it does not boil,5,"fact,feeling",216,"facts,emotions",5,"fact,feeling",58
3714,i was fondling myself on the campus washing machine,4,fact,208,facts,4,fact,56
3715,i was going to give you a nasty look but i see you already have one,0,provocation,494,facts,4,provocation,138
3716,i was having a great time,4,"fact,feeling",216,emotions,0,"fact,feeling",58
3717,i was horrified,4,"fact,feeling",216,emotions,0,"fact,feeling",58
3718,i was in a gloomy mood,4,"fact,feeling",216,emotions,0,"fact,feeling",58
3719,i was in our room,4,fact,208,facts,4,fact,56
3720,i was lost in the dark of night,4,fact,208,facts,4,fact,56
3721,i was only entitled to reproaches,2,generalisation,303,facts,4,judgemental,87
3722,i was overcome by my urge to eat the candy bar,2,denial,129,facts,4,fault,63
3723,i was overcome by my urge to eat candies,2,denial,129,facts,4,fault,63
3724,i was saddened to hear the bad news,4,feeling,254,emotions,0,feeling,72
3725,i was shaken by this news,5,feeling,254,emotions,0,feeling,72
3726,i was shaking babbling having palpitations nausea i needed to get out of the house it was my colleague who finished the job,4,feeling,254,emotions,0,feeling,72
3727,i was so wrong,2,reproach,561,emotions,0,fault,63
3728,i was stung to the core,5,feeling,254,emotions,0,feeling,72
3729,i was surprised to hear that you were 6 months pregnant i wish i had known that before,4,feeling,254,emotions,0,feeling,72
3730,i was very keen on it,4,feeling,254,emotions,0,feeling,72
3731,i was very keen on it,4,"fact,feeling",216,facts,4,"fact,feeling",58
3732,i was waiting for the rain to stop,4,fact,208,facts,4,fact,56
3733,i was warned that you had a bad heart,1,"generalisation,labelling,provocation",317,facts,4,"provocation,judgemental",145
3734,i was working all night,4,fact,208,facts,4,fact,56
3735,i was wrong to believe in you,1,reproach,561,"facts,emotions",5,fault,63
3736,i was wrong to think we could get anywhere,1,reproach,561,"facts,emotions",5,fault,63
3737,i wash the dishes,4,fact,208,facts,4,fact,56
3738,i was not aggressive enough compared to you,2,reproach,561,"facts,emotions",5,fault,63
3739,i watch a movie,4,fact,208,facts,4,fact,56
3740,i watch television,4,fact,208,facts,4,fact,56
3741,i watched the giant sleeping soundly as he crept by,4,fact,208,facts,4,fact,56
3742,i went home,4,fact,208,facts,4,fact,56
3743,i went to see my parents,4,fact,208,facts,4,fact,56
3744,i went to the account and found out that you spent 1000 euros on clothes this week,5,fact,208,facts,4,fact,56
3745,i went to the bathroom because i needed to pee,4,"fact,need",244,"facts,needs",10,"fact,need",60
3746,i went to the library where i studied until 8 o clock,4,fact,208,facts,4,fact,56
3747,i went to work,4,fact,208,facts,4,fact,56
3748,i will always be by your side,4,fact,208,facts,4,fact,56
3749,i will always catch you when you fall,4,fact,208,facts,4,fact,56
3750,i will be there for you through thick and thin,4,"fact,empathy",213,facts,4,"empathy,fact",13
3751,i will castrate you and roast your testicles then i will feed them to you,0,provocation,494,facts,4,provocation,138
3752,i will drive you up to the wall,0,provocation,494,facts,4,provocation,138
3753,i will give you the brush off,0,provocation,494,facts,4,provocation,138
3754,i will never achieve anything,1,"generalisation,reproach",334,facts,4,"judgemental,fault",89
3755,i will never achieve my dreams,1,"generalisation,reproach",334,facts,4,"judgemental,fault",89
3756,i will never be as good as he is,1,"comparison,generalisation",100,facts,4,judgemental,87
3757,i will never be happy,1,"generalisation,reproach",334,facts,4,"judgemental,fault",89
3758,i will never love another person with as much intensity as i love you,4,"feeling,empathy",273,emotions,0,"empathy,feeling",20
3759,i will never love anyone as much as i love you,4,"feeling,empathy",273,emotions,0,"empathy,feeling",20
3760,i will never make it,1,"generalisation,reproach",334,facts,4,"judgemental,fault",89
3761,i will not spoon feed you,2,unavailable,627,facts,4,fault,63
3762,i will only adore you twice in my lifetime that s now and forever,4,positivebias,461,"facts,emotions",5,positivebias,131
3763,i will receive the package on friday for our little girl,4,fact,208,facts,4,fact,56
3764,i will share my dessert with him,4,fact,208,facts,4,fact,56
3765,i will teach you to respect me,2,"activity,demand,person,where,when,action,why,howmany,negative,realistic",9,proposals,18,"demanding,negative,realistic,unprecise",5
3766,i wish everyone would wipe their feet on the way home,4,fact,208,proposals,18,fact,56
3767,i wish i could turn back the clock i d find you sooner and love you longer,4,"fact,selfempathy",250,facts,4,"fact,feeling",58
3768,i wish i had time to take care of myself,4,"fact,selfempathy",250,facts,4,"fact,feeling",58
3769,i wish i had never got involved with you,2,reproach,561,facts,4,fault,63
3770,i wish i had never met you,2,reproach,561,facts,4,fault,63
3771,i wish the house was tidy,4,"activity,who,location,when,action,why,thismany,positive,realistic",79,proposals,18,"realistic,positive,precise",170
3772,i wish we could find a good compromise,4,"activity,who,where,when,action,why,thismany,positive,realistic",85,proposals,18,"realistic,positive,unprecise",171
3773,i wish we could find common ground,4,"activity,who,where,when,action,why,thismany,positive,realistic",85,proposals,18,"realistic,positive,unprecise",171
3774,i wish we could get back to a healthier view of things and stop blaming everything on me,1,"need,selfempathy,reproach",459,"facts,needs",10,"feeling,need,fault",78
3775,i wish we could stop this,4,"selfempathy,activity,person,where,when,action,why,thismany,positive,realistic",610,proposals,18,"realistic,positive,feeling,precise",165
3776,i wish we would get to work,4,"activity,person,where,when,action,why,thismany,positive,realistic",67,proposals,18,"realistic,positive,precise",170
3777,i wish you would by more like other kids,1,"comparison,reproach",107,facts,4,"judgemental,fault",89
3778,i wish you would not go over the speed limit,5,"activity,person,where,when,action,why,thismany,positive,realistic",67,"emotions,proposals",3,"realistic,positive,precise",170
3779,i wish you d leave me alone once in a while,1,"activity,demand,person,where,when,action,why,thismany,negative,realistic",11,"facts,proposals",12,"demanding,negative,realistic,precise",4
3780,i wo not accept that you think you can get away with this,1,"activity,demand,person,where,when,action,why,thismany,negative,realistic",11,"facts,proposals",12,"demanding,negative,realistic,precise",4
